bug_id,reporter,version,datecreated,dateresolved,resolution,,difference of days,,Median,
322075,230311,unspecified,01-01-2006,01-01-2006,FIXED,,0,,,less
322094,12445,unspecified,01-01-2006,02-01-2006,FIXED,,1,,,less
322101,202180,unspecified,01-01-2006,01-01-2006,DUPLICATE,,0,,,less
322117,229704,1.5 Branch,01-01-2006,08-01-2006,DUPLICATE,,7,,,less
322119,230368,unspecified,02-01-2006,02-01-2006,WORKSFORME,,0,,,less
322120,111729,unspecified,02-01-2006,02-01-2006,DUPLICATE,,0,,,less
322125,17687,Trunk,02-01-2006,02-01-2006,DUPLICATE,,0,,,less
322130,183486,unspecified,02-01-2006,02-01-2006,DUPLICATE,,0,,,less
322132,69768,Trunk,02-01-2006,02-01-2006,DUPLICATE,,0,,,less
322142,230391,unspecified,02-01-2006,02-01-2006,DUPLICATE,,0,,,less
322147,230403,unspecified,02-01-2006,05-01-2006,FIXED,,4,,,less
322168,230348,unspecified,02-01-2006,17-01-2006,DUPLICATE,,15,,,less
322184,230436,unspecified,02-01-2006,02-01-2006,FIXED,,0,,,less
322188,230446,1.5 Branch,02-01-2006,05-01-2006,DUPLICATE,,2,,,less
322189,189836,unspecified,02-01-2006,03-01-2006,WORKSFORME,,1,,,less
322191,230450,unspecified,02-01-2006,02-01-2006,FIXED,,0,,,less
322197,230458,unspecified,02-01-2006,03-01-2006,INVALID,,1,,,less
322211,230469,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322213,159344,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322216,199740,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322220,229109,unspecified,03-01-2006,03-01-2006,INVALID,,0,,,less
322223,230483,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322225,141722,unspecified,03-01-2006,03-01-2006,INVALID,,0,,,less
322228,230483,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322235,230496,unspecified,03-01-2006,03-01-2006,INVALID,,0,,,less
322250,230499,1.5 Branch,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322262,229109,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322269,230518,1.0 Branch,03-01-2006,03-01-2006,INVALID,,0,,,less
322275,199430,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322279,222671,unspecified,03-01-2006,03-01-2006,INVALID,,0,,,less
322290,209310,Trunk,03-01-2006,27-01-2006,FIXED,,24,,,less
322291,152140,1.5 Branch,03-01-2006,03-01-2006,INVALID,,0,,,less
322296,230538,unspecified,03-01-2006,03-01-2006,DUPLICATE,,0,,,less
322302,230542,1.5 Branch,03-01-2006,13-01-2006,FIXED,,10,,,less
322306,230460,unspecified,03-01-2006,03-01-2006,INVALID,,0,,,less
322311,230553,unspecified,03-01-2006,03-01-2006,WORKSFORME,,0,,,less
322349,230588,unspecified,04-01-2006,04-01-2006,DUPLICATE,,0,,,less
322353,196896,unspecified,04-01-2006,08-01-2006,DUPLICATE,,5,,,less
322357,196896,unspecified,04-01-2006,04-01-2006,DUPLICATE,,1,,,less
322369,209310,Trunk,04-01-2006,17-01-2006,FIXED,,13,,,less
322371,209310,Trunk,04-01-2006,04-01-2006,FIXED,,0,,,less
322378,209310,Trunk,04-01-2006,04-01-2006,FIXED,,0,,,less
322379,209310,Trunk,04-01-2006,05-01-2006,FIXED,,1,,,less
322384,178847,unspecified,04-01-2006,04-01-2006,DUPLICATE,,0,,,less
322387,230616,unspecified,04-01-2006,04-01-2006,INVALID,,0,,,less
322390,209310,Trunk,04-01-2006,04-01-2006,FIXED,,0,,,less
322405,187774,unspecified,04-01-2006,04-01-2006,DUPLICATE,,0,,,less
322411,37430,1.5.0.x Branch,04-01-2006,04-01-2006,DUPLICATE,,0,,,less
322420,227421,unspecified,04-01-2006,05-01-2006,INVALID,,1,,,less
322425,230645,unspecified,04-01-2006,04-01-2006,DUPLICATE,,0,,,less
322428,230647,unspecified,04-01-2006,04-01-2006,DUPLICATE,,0,,,less
322448,230668,unspecified,04-01-2006,05-01-2006,WORKSFORME,,0,,,less
322481,220206,1.5 Branch,05-01-2006,05-01-2006,DUPLICATE,,0,,,less
322487,230698,unspecified,05-01-2006,05-01-2006,DUPLICATE,,0,,,less
322489,230698,unspecified,05-01-2006,05-01-2006,DUPLICATE,,0,,,less
322502,230733,1.5 Branch,05-01-2006,07-01-2006,INVALID,,2,,,less
322503,230734,unspecified,05-01-2006,09-01-2006,DUPLICATE,,4,,,less
322506,230735,unspecified,05-01-2006,05-01-2006,DUPLICATE,,0,,,less
322507,21544,Trunk,05-01-2006,22-01-2006,FIXED,,17,,,less
