bug_id,reporter,version,datecreated,dateresolved,resolution,,difference of days,,Median,
322067,230305,1.5.0.x Branch,01-01-2006,04-07-2007,INCOMPLETE,,549,,26,more
322077,126404,Trunk,01-01-2006,31-10-2006,FIXED,,303,,,more
322080,230319,unspecified,01-01-2006,26-08-2009,INCOMPLETE,,1333,,,more
322081,193569,1.0 Branch,01-01-2006,06-06-2007,INCOMPLETE,,521,,,more
322096,230334,1.5 Branch,01-01-2006,06-06-2007,WORKSFORME,,521,,,more
322108,230356,1.0 Branch,01-01-2006,04-07-2007,INCOMPLETE,,548,,,more
322114,230357,2.0 Branch,01-01-2006,22-05-2010,INCOMPLETE,,1602,,,more
322137,230393,1.5.0.x Branch,02-01-2006,10-09-2007,INCOMPLETE,,617,,,more
322141,230391,1.5 Branch,02-01-2006,08-04-2006,WORKSFORME,,96,,,more
322146,168699,1.5.0.x Branch,02-01-2006,04-06-2007,INCOMPLETE,,518,,,more
322151,230400,unspecified,02-01-2006,04-04-2006,DUPLICATE,,92,,,more
322159,230413,unspecified,02-01-2006,08-04-2006,WORKSFORME,,96,,,more
322166,230419,1.5.0.x Branch,02-01-2006,24-01-2007,DUPLICATE,,386,,,more
322169,302291,unspecified,02-01-2006,18-07-2006,FIXED,,197,,,more
322178,230428,1.5.0.x Branch,02-01-2006,06-06-2007,WORKSFORME,,519,,,more
322179,230429,1.5.0.x Branch,02-01-2006,31-08-2007,WORKSFORME,,606,,,more
322206,7044,Trunk,03-01-2006,28-09-2012,FIXED,,2461,,,more
322257,102080,1.5.0.x Branch,03-01-2006,24-04-2006,DUPLICATE,,111,,,more
322268,230400,1.5 Branch,03-01-2006,10-12-2008,INCOMPLETE,,1072,,,more
322282,230530,1.5 Branch,03-01-2006,25-07-2007,INCOMPLETE,,568,,,more
322289,209310,Trunk,03-01-2006,20-03-2006,WONTFIX,,76,,,more
322294,230535,1.5.0.x Branch,03-01-2006,04-07-2007,INCOMPLETE,,547,,,more
322298,230540,Trunk,03-01-2006,25-11-2006,INVALID,,326,,,more
