id,difference of days
322067,549
322075,0
322077,303
322080,1333
322081,521
322094,1
322096,521
322101,0
322108,548
322114,1602
322117,7
322119,0
322120,0
322125,0
322130,0
322132,0
322137,617
322141,96
322142,0
322146,518
322147,4
322151,92
322159,96
322166,386
322168,15
322169,197
322178,519
322179,606
322184,0
322188,2
322189,1
322191,0
322197,1
322206,2461
322211,0
322213,0
322216,0
322220,0
322223,0
322225,0
322228,0
322235,0
322250,0
322257,111
322262,0
322268,1072
322269,0
322275,0
322279,0
322282,568
322289,76
322290,24
322291,0
322294,547
322296,0
322298,326
322302,10
322306,0
322307,39
322311,0
322313,95
322336,530
322349,0
322353,5
322357,1
322365,631
322369,13
322371,0
322375,546
322378,0
322379,1
322384,0
322387,0
322390,0
322396,47
322397,1450
322405,0
322411,0
322420,1
322421,116
322425,0
322428,0
322431,45
322433,124
322444,1004
322447,1572
322448,0
322456,536
322460,245
322478,602
322481,0
322487,0
322489,0
322491,545
322502,2
322503,4
322506,0
322507,17
322511,1972
322516,2
322517,1598
322519,3
322521,0
322523,1
322532,517
322538,342
322539,1591
322540,1
322545,0
322546,112
322551,0
322552,0
322554,537
322556,92
322557,0
322559,0
322563,544
322579,0
322582,517
322583,0
322586,514
322587,3
322601,1145
322610,466
322614,2
322616,544
322623,0
322629,92
322630,0
322631,0
322632,92
322633,0
322640,0
322643,583
322645,791
322648,1774
322650,628
322651,516
322659,1
322662,259
322664,451
322665,0
322669,0
322671,0
322674,262
322675,536
322676,7
322679,0
322681,0
322684,0
322698,0
322703,0
322706,0
322715,0
322722,0
322723,514
322742,508
322743,0
322750,1179
322755,0
322756,0
322757,0
322758,2
322775,0
322778,2265
322785,0
322791,1
322795,0
322801,0
322803,0
322811,2
322814,323
322817,0
322826,453
322829,1
322835,1
322843,547
322864,1
322867,512
322868,87
322873,1587
322876,619
322880,1
322883,0
322887,0
322891,1
322892,0
322901,1
322902,0
322903,165
322909,625
322911,0
322913,392
322915,610
322927,0
322934,233
322937,0
322943,1266
322951,0
322967,13
322972,0
322977,528
322983,1082
322986,16
322988,55
322989,36
322990,88
322997,512
323000,1302
323002,284
323019,539
323021,0
323023,1
323029,1681
323030,539
323037,389
323038,0
323043,1
323045,0
323047,1272
323066,0
323069,0
323071,1592
323074,9
323078,0
323089,1586
323095,6
323096,26
323107,1100
323117,623
323119,0
323120,132
323132,1
323134,1501
323146,509
323150,509
323152,7
323164,54
323167,1
323172,0
323173,41
323176,0
323185,509
323194,116
323209,537
323213,540
323216,38
323219,515
323236,524
323242,160
323256,6
323258,0
323259,558
323263,509
323264,2
323269,537
323270,697
323271,3
323277,1200
323280,506
323281,253
323289,0
323295,125
323304,508
323310,0
323312,507
323322,0
323327,0
323342,10
323344,56
323345,86
323349,1108
323356,0
323362,2055
323368,1
323398,1083
323399,1
323403,0
323408,507
323413,837
323418,0
323419,1
323422,1589
323423,506
323425,0
323429,0
323432,0
323434,508
323440,0
323443,694
323446,530
323452,0
323459,37
323462,1583
323464,1582
323466,0
323467,36
323469,822
323472,11
323475,505
323478,0
323483,1
323484,15
323490,0
323491,505
323492,9
323505,0
323522,45
323523,505
323532,2
323536,26
323537,43
323538,0
323544,35
323545,1
323549,4
323552,17
323561,592
323565,1796
323568,0
323572,517
323573,0
323594,119
323599,0
323610,0
323612,1588
323613,0
323621,520
323623,1587
323630,0
323632,504
323633,0
323635,0
323638,0
323639,0
323647,0
323648,0
323649,0
323658,0
323659,3
323660,0
323668,1
323672,502
323685,4
323686,4
323689,491
323693,0
323715,1
323720,0
323724,1
323729,1
323734,520
323761,55
323762,0
323771,5
323788,0
323798,189
323800,0
323801,191
323803,0
323805,541
323811,35
323812,69
323825,0
323830,0
323831,6
323832,0
323834,12
323837,0
323839,110
323844,0
323855,692
323857,32
323861,590
323863,0
323871,1586
323872,0
323878,0
323879,692
323885,532
323889,0
323892,0
323895,0
323897,0
323899,250
323913,1762
323921,0
323929,0
323932,503
323935,0
323939,2072
323943,0
323948,0
323957,0
323962,17
323965,1
323966,148
323972,55
323987,14
323991,0
323995,0
324002,0
324004,1
324005,251
324020,0
324023,14
324038,1584
324041,0
324042,0
324047,531
324048,531
324049,0
324052,0
324056,1
324061,6
324063,121
324064,249
324066,502
324068,1334
324070,0
324071,529
324080,8
324087,317
324089,507
324091,1584
324114,0
324116,0
324123,1546
324129,0
324130,0
324132,504
324135,241
324144,502
324148,29
324150,0
324155,0
324160,0
324164,996
324166,1097
324168,528
324180,12
324181,0
324184,42
324185,0
324187,155
324191,1401
324195,0
324197,0
324202,7
324204,2
324209,112
324210,1
324224,255
324225,502
324227,1
324230,561
324237,39
324241,0
324256,77
324259,271
324262,1
324263,268
324264,466
324269,0
324274,5
324275,1
324287,261
324290,0
324292,0
324295,0
324300,254
324304,0
324307,498
324321,148
324322,887
324324,0
324328,0
324330,1010
324331,0
324332,1581
324335,30
324339,6
324342,4
324344,428
324345,0
324347,1
324348,15
324354,10
324358,1
324360,0
324364,124
324385,0
324387,1757
324395,505
324400,0
324403,525
324404,1
324405,1201
324420,526
324421,0
324428,109
324429,302
324433,0
324437,1580
324438,1696
324447,46
324449,0
324454,0
324455,17
324459,498
324461,1
324462,0
324470,485
324471,533
324481,516
324487,2
324489,0
324490,5
324491,71
324497,1580
324509,27
324512,1
324515,0
324522,4
324526,686
324528,15
324531,497
324539,1
324545,21
324547,524
324552,0
324553,2
324554,0
324555,203
324556,2
324562,1
324563,0
324564,0
324565,229
324567,496
324569,0
324577,0
324579,58
324580,497
324582,77
324586,78
324587,77
324588,311
324589,495
324590,35
324596,0
324602,688
324604,120
324605,1462
324607,196
324610,0
324614,1579
324618,0
324622,0
324623,497
324629,0
324630,17
324632,661
324636,0
324641,0
324652,3
324655,1
324664,5
324677,496
324684,518
324691,1
324692,1249
324695,391
324704,2
324708,499
324716,286
324717,0
324727,1
324728,532
324730,496
324736,0
324737,684
324745,147
324748,243
324755,524
324763,0
324778,0
324780,0
324782,0
324785,0
324787,0
324789,20
324793,2043
324795,0
324798,447
324801,0
324802,1
324810,495
324811,0
324814,0
324817,0
324822,6
324826,0
324827,0
324831,1
324832,214
324834,0
324838,0
324845,0
324846,6
324850,0
324851,1571
324856,0
324858,0
324864,2041
324868,0
324869,29
324872,129
324876,1
324879,4
324880,457
324886,162
324888,521
324889,0
324890,0
324891,0
324894,0
324897,495
324900,0
324910,521
324912,0
324914,482
324919,3
324931,0
324932,0
324934,6
324935,1
324937,0
324940,39
324946,4
324948,13
324952,0
324957,2
324958,56
324959,530
324961,91
324964,1576
324966,3
324968,1
324978,0
324982,0
324984,0
324999,0
325003,0
325009,0
325013,158
325014,492
325017,0
325023,107
325027,492
325036,1
325038,1
325042,1810
325054,0
325056,0
325062,0
325065,89
325071,0
325075,0
325078,1
325080,97
325081,307
325083,95
325085,307
325086,520
325089,861
325091,53
325092,2
325094,493
325099,1
325104,2
325118,1
325120,492
325121,1
325122,0
325124,0
325127,202
325130,0
325133,491
325139,497
325153,1
325154,102
325155,4
325156,0
325157,492
325160,0
325161,8
325162,0
325163,9
325164,0
325169,2
325171,33
325173,1
325174,1
325176,16
325178,492
325187,510
325188,510
325194,493
325197,441
325198,1543
325199,954
325203,0
325205,1
325216,1
325219,3
325224,7
325225,0
325226,0
325236,10
325239,0
325248,192
325249,0
325250,0
325257,66
325267,1573
325277,986
325282,1251
325285,12
325286,32
325288,8
325290,517
325291,180
325293,282
325294,0
325302,0
325304,0
325313,0
325319,0
325324,517
325326,517
325328,1572
325330,1
325339,483
325342,465
325344,0
325345,4
325346,0
325348,0
325349,1
325350,0
325355,490
325357,512
325362,1719
325363,1
325364,0
325385,0
325388,13
325389,1
325391,0
325394,35
325402,519
325414,0
325428,511
325430,25
325461,0
325488,1
325493,518
325499,0
325503,5
325512,90
325514,516
325522,510
325531,1
325536,1085
325541,70
325542,0
325546,1571
325559,1
325568,0
325569,0
325571,0
325573,236
325574,279
325575,0
325576,0
325578,279
325582,0
325586,0
325591,0
325595,0
325596,0
325598,0
325600,0
325602,501
325603,1
325604,0
325605,27
325608,0
325612,515
325621,0
325626,369
325627,489
325634,99
325640,0
325654,109
325655,0
325662,0
325665,11
325669,1539
325670,1
325674,0
325676,14
325677,488
325679,488
325690,118
325692,0
325698,487
325699,0
325706,6
325712,83
325713,0
325714,516
325717,1
325727,574
325734,0
325735,0
325736,572
325737,61
325739,488
325740,4
325741,21
325747,514
325748,488
325751,0
325754,486
325755,1
325757,1
325759,0
325760,0
325763,4
325764,108
325766,0
325770,1746
325772,39
325776,0
325779,0
325781,14
325782,14
325784,701
325787,0
325790,0
325792,480
325797,2124
325806,97
325812,4
325819,7
325820,3
325821,487
325827,3
325828,1320
325829,2
325834,0
325836,0
325837,283
325841,0
325859,2
325872,0
325881,0
325886,0
325888,0
325892,486
325893,10
325894,263
325896,485
325897,508
325898,504
325901,2384
325905,513
325907,481
325914,0
325915,0
325928,0
325931,0
325933,484
325934,88
325936,0
325937,505
325949,1568
325953,1684
325955,2
325956,1856
325961,34
325966,116
325968,0
325971,0
325973,485
325976,484
325982,0
325988,0
325989,0
325992,312
325993,0
325994,1567
325995,592
325998,0
326008,599
326010,1744
326012,7
326016,0
326018,11
326031,1560
326038,0
326039,489
326041,1532
326042,1548
326044,497
326046,0
326048,0
326049,0
326051,1060
326058,1
326068,41
326073,513
326075,494
326078,0
326079,62
326081,477
326087,0
326089,0
326099,55
326106,0
326115,513
326120,513
326121,0
326131,0
326135,0
326138,105
326141,0
326146,0
326147,18
326150,7
326151,8
326154,7
326167,535
326172,422
326178,0
326184,0
326185,464
326187,0
326190,1261
326193,0
326199,0
326208,1291
326219,1
326220,0
326226,672
326232,0
326240,0
326241,478
326243,0
326246,571
326247,484
326254,3
326258,2029
326259,0
326263,6
326264,1
326269,0
326282,1060
326284,92
326285,672
326288,408
326295,0
326305,125
326307,1565
326318,484
326319,483
326320,645
326321,51
326330,1559
326339,192
326340,0
326343,0
326346,0
326349,0
326350,340
326355,0
326356,0
326357,287
326371,20
326376,0
326377,0
326381,533
326382,498
326386,0
326387,0
326389,16
326391,498
326404,7
326408,474
326409,1098
326410,66
326411,13
326415,0
326425,0
326426,363
326428,21
326431,1053
326432,0
326444,0
326446,1993
326448,0
326450,0
326456,83
326475,42
326476,1410
326488,0
326489,1564
326494,0
326502,508
326504,0
326505,0
326509,481
326512,1051
326513,1740
326515,481
326527,0
326533,482
326540,6
326541,496
326547,1
326552,1038
326559,496
326570,0
326571,2135
326574,480
326575,1
326577,482
326580,104
326583,1
326592,585
326595,1059
326598,5
326604,1529
326605,482
326606,1
326608,1
326609,0
326610,14
326613,19
326614,22
326616,507
326623,479
326626,4
326636,0
326639,2
326640,481
326651,5
326652,493
326654,373
326659,5
326660,0
326662,480
326669,136
326675,5
326676,21
326677,5
326678,0
326682,5
326688,0
326695,507
326696,0
326705,319
326715,479
326724,785
326729,0
326731,21
326734,27
326735,2068
326739,84
326747,0
326757,1678
326761,1271
326762,1076
326769,38
326771,1555
326773,45
326774,0
326781,0
326786,0
326799,449
326805,79
326810,1
326815,480
326817,818
326819,3
326821,1554
326824,27
326828,1033
326830,0
326831,508
326844,0
326845,476
326847,179
326850,0
326853,1
326855,0
326856,1649
326859,305
326860,2
326867,0
326878,667
326880,0
326885,667
326890,0
326897,0
326903,477
326908,671
326914,477
326918,507
326920,0
326921,507
326933,0
326950,0
326962,11
326969,2
326973,1443
326982,0
326984,1309
326986,780
326996,603
326999,478
327000,8
327004,477
327006,666
327007,0
327009,780
327011,0
327013,1559
327018,477
327021,506
327026,1
327030,666
327034,18
327036,10
327056,0
327057,0
327058,111
327060,666
327069,1552
327084,1607
327085,521
327087,0
327097,506
327101,126
327104,0
327110,1
327112,0
327114,0
327115,3
327121,1559
327122,665
327125,1033
327127,4
327133,0
327135,1
327136,477
327139,538
327141,0
327142,0
327143,156
327151,0
327159,0
327160,133
327162,782
327165,14
327167,0
327169,0
327173,505
327174,2
327178,1
327182,1
327185,0
327188,29
327190,86
327191,0
327196,0
327204,505
327205,1
327206,17
327209,0
327210,301
327211,0
327216,1
327223,0
327230,0
327249,0
327260,291
327271,1
327274,0
327278,474
327281,0
327282,0
327297,0
327299,3
327303,5
327304,2279
327306,5
327308,80
327310,1550
327313,1
327315,0
327318,0
327320,0
327321,14
327324,1
327326,1
327328,1
327329,476
327330,13
327331,0
327332,0
327333,0
327335,664
327337,254
327338,16
327340,30
327345,30
327347,592
327350,495
327352,2206
327358,39
327360,0
327364,14
327365,0
327367,0
327368,0
327369,622
327370,0
